"Race.ID","Chamber","State","Congressional.District","Year","R.D.Victory.Margin","Incumbent.Running.","Geography","District.PVI","Population.Square.Mile","Share.African.American","Share.Asian","Share.College.Educated","Share.Hispanic","Share.Non.Hispanic.White","Unopposed.D.","Unopposed.R.","Vote.Share.of.Last.D.Presidential.Candidate","Vote.Share.of.Last.R.House.Candidate"
"H2006AZ02","House","AZ",2,2006,0.1894,"Republican","Extremely Urban",9,31.72,0.038647439,0.027,0.219,0.184169143,0.742926942,0,0,0.3818,0.5917
"H2006AZ03","House","AZ",3,2006,0.1959,"Republican","Extremely Urban",6,1071.7,0.034954675,0.041,0.339,0.190728337,0.748494766,0,0,0.4175,0.801
"H2006AZ04","House","AZ",4,2006,-0.4794,"Democrat","Extremely Urban",-14,3216.29,0.079879068,0.02,0.136,0.668093264,0.274527474,0,0,0.6202,0.2566
"H2006AZ05","House","AZ",5,2006,-0.0405,"Republican","Extremely Urban",4,456.21,0.038122851,0.051,0.436,0.162472457,0.740782242,0,0,0.4558,0.595
"H2006AZ06","House","AZ",6,2006,1,"Republican","Extremely Urban",12,886.25,0.031577446,0.034,0.285,0.20315966,0.736793792,0,1,0.3533,0.7938
"H2006AZ07","House","AZ",7,2006,-0.2486,"Democrat","Quite Urban",-10,28.04,0.038463172,0.021,0.153,0.554433167,0.386600329,0,0,0.5698,0.3367
"H2006AZ08","House","AZ",8,2006,-0.1193,"Open Seat","Extremely Urban",1,71.21,0.038585585,0.037,0.341,0.203015119,0.726727366,0,0,0.4677,0.6036
"H2006CA01","House","CA",1,2006,-0.3725,"Democrat","Quite Urban",-10,58.07,0.019192779,0.063,0.284,0.20429872,0.674366503,0,0,0.6088,0.2826
"H2006CA02","House","CA",2,2006,0.3172,"Republican","",13,29.37,0.017783262,0.056,0.204,0.166650206,0.746361488,0,0,0.3708,0.6685
"H2006CA03","House","CA",3,2006,0.2165,"Republican","Extremely Urban",7,189.4,0.065949477,0.109,0.29,0.130289778,0.662353175,0,0,0.412,0.6191
"H2006CA04","House","CA",4,2006,0.0318,"Republican","",11,38.84,0.014920614,0.053,0.296,0.098991998,0.808731579,0,0,0.3789,0.6539
"H2006CA05","House","CA",5,2006,-0.4728,"Democrat","Extremely Urban",-14,4346.95,0.161107317,0.185,0.254,0.25194633,0.41000505,0,0,0.6171,0.2333
"H2006CA06","House","CA",6,2006,-0.4411,"Democrat","Extremely Urban",-21,393.39,0.025428245,0.06,0.405,0.180572122,0.725494588,0,0,0.7143,0.2735
"H2006CA07","House","CA",7,2006,-1,"Democrat","Extremely Urban",-19,1830.99,0.173346996,0.169,0.255,0.248886764,0.393534886,1,0,0.6784,0.2392
"H2006CA08","House","CA",8,2006,-0.6967,"Democrat","Extremely Urban",-36,18063.54,0.085033953,0.317,0.501,0.159512252,0.441408129,0,0,0.8575,0.1151
"H2006CA09","House","CA",9,2006,-0.7562,"Democrat","Extremely Urban",-38,4830.96,0.23866342,0.185,0.426,0.215279192,0.378149701,0,0,0.8724,0.1226
"H2006CA10","House","CA",10,2006,-0.3289,"Democrat","Extremely Urban",-9,630.69,0.079351261,0.137,0.394,0.196803257,0.570799901,0,0,0.5914,0.3429
"H2006CA11","House","CA",11,2006,-0.0654,"Republican","Extremely Urban",3,280.69,0.055791959,0.161,0.322,0.234878421,0.548336764,0,0,0.4564,0.6123
"H2006CA12","House","CA",12,2006,-0.521,"Democrat","Extremely Urban",-22,5464.63,0.031231117,0.336,0.463,0.158501774,0.430278342,0,0,0.7243,0.2082
"H2006CA13","House","CA",13,2006,-0.4978,"Democrat","Extremely Urban",-22,2888.01,0.08193706,0.381,0.369,0.231173933,0.298207897,0,0,0.7172,0.2399
"H2006CA14","House","CA",14,2006,-0.4686,"Democrat","Extremely Urban",-18,774.04,0.032666314,0.234,0.57,0.187004566,0.541422004,0,0,0.6939,0.2656
"H2006CA15","House","CA",15,2006,-0.4466,"Democrat","Extremely Urban",-14,2232.78,0.026401259,0.386,0.466,0.193719149,0.40072485,0,0,0.6367,0.2797
"H2006CA16","House","CA",16,2006,-0.4542,"Democrat","Extremely Urban",-16,2779.97,0.03561803,0.279,0.321,0.385382146,0.289430425,0,0,0.6412,0.2633
"H2006CA17","House","CA",17,2006,-0.5411,"Democrat","Extremely Urban",-17,132.59,0.027832976,0.07,0.263,0.46955964,0.448897036,0,0,0.6652,0.2917
"H2006CA18","House","CA",18,2006,-0.3096,"Democrat","Extremely Urban",-3,209.38,0.06230269,0.099,0.107,0.490389347,0.347023736,0,0,0.4988,0.3251
"H2006CA19","House","CA",19,2006,0.2116,"Republican","Quite Urban",10,95.5,0.041038804,0.058,0.216,0.331909657,0.553262718,0,0,0.3825,0.6603
"H2006CA20","House","CA",20,2006,-1,"Democrat","Extremely Urban",-5,128.27,0.062833235,0.068,0.074,0.683953881,0.203089547,1,0,0.5109,0.466
"H2006CA21","House","CA",21,2006,0.368,"Republican","Quite Urban",13,79.63,0.02989874,0.065,0.176,0.479744613,0.430815701,0,0,0.3399,0.7317
"H2006CA22","House","CA",22,2006,0.414,"Open Seat","Quite Urban",16,61.35,0.068458416,0.047,0.204,0.268198431,0.59044636,0,0,0.3132,1
"H2006CA23","House","CA",23,2006,-0.3035,"Democrat","Extremely Urban",-9,613.57,0.029790599,0.071,0.278,0.452068895,0.470783395,0,0,0.5914,0.3435
"H2006CA24","House","CA",24,2006,0.2405,"Republican","Extremely Urban",5,164.58,0.022073425,0.068,0.343,0.252955884,0.642332221,0,0,0.436,0.6282
"H2006CA25","House","CA",25,2006,0.2429,"Republican","Extremely Urban",7,29.75,0.102523647,0.065,0.212,0.353251159,0.467512815,0,0,0.4042,0.6442
"H2006CA26","House","CA",26,2006,0.1906,"Republican","Extremely Urban",4,849.96,0.059435543,0.204,0.367,0.275267392,0.462611044,0,0,0.442,0.5358
"H2006CA27","House","CA",27,2006,-0.3754,"Democrat","Extremely Urban",-13,4239.39,0.053374726,0.129,0.296,0.404390574,0.419994827,0,0,0.6018,0.3327
"H2006CA28","House","CA",28,2006,-0.5483,"Democrat","Extremely Urban",-25,8279.4,0.036408395,0.064,0.275,0.577413619,0.346194158,0,0,0.7181,0.233
"H2006CA29","House","CA",29,2006,-0.3605,"Democrat","Extremely Urban",-12,6302.64,0.064405799,0.27,0.385,0.245928526,0.416481035,0,0,0.6211,0.304
"H2006CA30","House","CA",30,2006,-0.4505,"Democrat","Extremely Urban",-20,2238.33,0.034595788,0.114,0.597,0.085313752,0.730673677,0,0,0.6688,0.2876
"H2006CA31","House","CA",31,2006,-1,"Democrat","Extremely Urban",-30,16232.87,0.04410946,0.15,0.2,0.70272994,0.135905727,1,0,0.781,0.1979
"H2006CA32","House","CA",32,2006,-1,"Democrat","Extremely Urban",-17,6957.94,0.028603412,0.205,0.17,0.641405225,0.124742539,1,0,0.6299,0
"H2006CA33","House","CA",33,2006,-1,"Democrat","Extremely Urban",-36,13272.86,0.286181688,0.137,0.331,0.370798916,0.242620281,1,0,0.8388,0
"H2006CA34","House","CA",34,2006,-0.536,"Democrat","Extremely Urban",-23,10962.06,0.042326368,0.068,0.117,0.798934102,0.10771696,0,0,0.6978,0.2551
"H2006CA35","House","CA",35,2006,-1,"Democrat","Extremely Urban",-33,11533.8,0.303258359,0.067,0.17,0.547806442,0.108687577,1,0,0.798,0.1508
"H2006CA36","House","CA",36,2006,-0.3145,"Democrat","Extremely Urban",-11,8535.96,0.047246836,0.179,0.432,0.313106209,0.475854533,0,0,0.5982,0.3346
"H2006CA37","House","CA",37,2006,-1,"Democrat","Extremely Urban",-27,8569.16,0.244420469,0.145,0.192,0.468936682,0.170162141,1,0,0.745,0.2019
"H2006CA38","House","CA",38,2006,-0.5066,"Democrat","Extremely Urban",-20,6151.58,0.035108432,0.11,0.15,0.736471653,0.114049882,0,0,0.6603,0
"H2006CA39","House","CA",39,2006,-0.3174,"Democrat","Extremely Urban",-13,9860.95,0.057285648,0.112,0.169,0.651700735,0.188329889,0,0,0.5924,0.393
"H2006CA40","House","CA",40,2006,0.3608,"Republican","Extremely Urban",8,6387.69,0.028507857,0.197,0.312,0.334605187,0.432372031,0,0,0.3898,0.6793
"H2006CA41","House","CA",41,2006,0.3385,"Republican","Extremely Urban",9,48,0.066232041,0.049,0.2,0.316248655,0.563663295,0,0,0.374,0.8295
"H2006CA42","House","CA",42,2006,1,"Republican","Extremely Urban",10,2036.74,0.030390073,0.19,0.387,0.257262707,0.477960102,0,1,0.3729,0.6814
"H2006CA43","House","CA",43,2006,-0.2898,"Democrat","Extremely Urban",-13,3348.11,0.128608882,0.054,0.115,0.661936641,0.179781062,0,0,0.5883,0.3363
"H2006CA44","House","CA",44,2006,0.2296,"Republican","Extremely Urban",6,1223.93,0.057861209,0.081,0.258,0.419941127,0.44664342,0,0,0.4036,0.6164
"H2006CA45","House","CA",45,2006,0.2132,"Republican","Extremely Urban",3,106.87,0.074393153,0.054,0.211,0.388249815,0.476331147,0,0,0.4346,0.6661
"H2006CA46","House","CA",46,2006,0.2287,"Republican","Extremely Urban",6,2424.09,0.022764072,0.202,0.405,0.192864016,0.592526418,0,0,0.4224,0.6192
"H2006CA47","House","CA",47,2006,-0.2466,"Democrat","Extremely Urban",-5,11683.49,0.017840711,0.165,0.135,0.687749147,0.154521336,0,0,0.4928,0.3962
"H2006CA48","House","CA",48,2006,0.2268,"Republican","Extremely Urban",8,3011.01,0.019855417,0.186,0.526,0.162822098,0.611053442,0,0,0.4089,0.6498
"H2006CA49","House","CA",49,2006,0.2985,"Republican","Extremely Urban",10,378.06,0.050298892,0.063,0.231,0.354718387,0.53367278,0,0,0.3682,0.6255
"H2006CA50","House","CA",50,2006,0.0964,"Republican","Extremely Urban",5,2128.45,0.022523273,0.143,0.454,0.209310696,0.623477284,0,0,0.4427,0.5842
"H2006CA51","House","CA",51,2006,-0.3728,"Democrat","Extremely Urban",-7,139.47,0.078832954,0.146,0.182,0.596296906,0.180470646,0,0,0.5385,0.3512
"H2006CA52","House","CA",52,2006,0.3266,"Republican","Extremely Urban",9,302.42,0.053549834,0.088,0.323,0.174609587,0.678714125,0,0,0.3806,0.6919
"H2006CA53","House","CA",53,2006,-0.3756,"Democrat","Extremely Urban",-12,6731.48,0.083385736,0.107,0.391,0.309637994,0.528250593,0,0,0.6192,0.2886
"H2006CO01","House","CO",1,2006,-1,"Democrat","Extremely Urban",-18,3586.23,0.108338773,0.04,0.397,0.333153605,0.595864495,1,0,0.689,0.2435
"H2006CO02","House","CO",2,2006,-0.3661,"Democrat","Extremely Urban",-8,109.43,0.014790773,0.045,0.417,0.179498851,0.762673279,0,0,0.587,0.3044
"H2006CO03","House","CO",3,2006,-0.2428,"Democrat","",6,11.39,0.010370933,0.009,0.267,0.2243101,0.750306579,0,0,0.4424,0.4656
"H2006CO04","House","CO",4,2006,0.0315,"Republican","Quite Urban",9,19.89,0.00997149,0.02,0.32,0.188949287,0.788482777,0,0,0.4156,0.5105
"H2006CO05","House","CO",5,2006,0.1864,"Open Seat","Extremely Urban",16,79.72,0.068220347,0.038,0.331,0.125698403,0.769415861,0,0,0.33,0.7054
"H2006CO06","House","CO",6,2006,0.1914,"Republican","Extremely Urban",10,149.73,0.031612344,0.048,0.488,0.076104,0.842510344,0,0,0.3933,0.5948
"H2006CO07","House","CO",7,2006,-0.1263,"Open Seat","Extremely Urban",-2,488.36,0.073001057,0.034,0.275,0.269125938,0.642663889,0,0,0.5162,0.5472
"H2006CT01","House","CT",1,2006,-0.4892,"Democrat","Extremely Urban",-14,1043.07,0.148399308,0.044,0.321,0.126289785,0.685932673,0,0,0.6067,0.2702
"H2006CT02","House","CT",2,2006,-0.0004,"Republican","",-8,335.84,0.03978622,0.032,0.326,0.050400618,0.861588294,0,0,0.5494,0.5419
"H2006CT03","House","CT",3,2006,-0.5426,"Democrat","Extremely Urban",-12,1483.42,0.136198565,0.042,0.321,0.099943772,0.72545943,0,0,0.5749,0.2497
"H2006CT04","House","CT",4,2006,0.0317,"Republican","Extremely Urban",-5,1490.6,0.117864698,0.046,0.459,0.15036954,0.66481551,0,0,0.5309,0.5243
"H2006CT05","House","CT",5,2006,-0.1234,"Republican","Extremely Urban",-4,545.94,0.068130195,0.031,0.336,0.126264691,0.76631753,0,0,0.5018,0.5979
"H2006DE00","House","DE",0,2006,0.1841,"Republican","Quite Urban",-7,401.11,0.211561531,0.020749107,0.277,0.062212847,0.690056908,0,0,0.5383,0.6909
"H2006FL01","House","FL",1,2006,0.3708,"Republican","Quite Urban",19,137.73,0.150681168,0.032,0.227,0.035996918,0.769896082,0,0,0.2772,0.7654
"H2006FL02","House","FL",2,2006,-1,"Democrat","",2,67.83,0.214190573,0.023,0.253,0.03565589,0.704278873,1,0,0.4579,0.3835
"H2006FL03","House","FL",3,2006,-1,"Democrat","Extremely Urban",-16,355.9,0.527120173,0.02,0.149,0.099357635,0.371728952,1,0,0.6494,0
"H2006FL04","House","FL",4,2006,0.3935,"Republican","Quite Urban",16,155.25,0.154872075,0.044,0.272,0.054483958,0.741257553,0,0,0.3063,0.9955
"H2006FL05","House","FL",5,2006,0.197,"Republican","",5,158.08,0.05426209,0.021,0.193,0.087371834,0.824510303,0,0,0.4145,0.6593
"H2006FL06","House","FL",6,2006,0.1976,"Republican","Quite Urban",8,219.57,0.141635537,0.033,0.243,0.065833434,0.740243626,0,0,0.3903,0.644
"H2006FL07","House","FL",7,2006,0.2616,"Republican","Extremely Urban",3,355.74,0.099284768,0.029,0.283,0.090913706,0.775315687,0,0,0.4317,1
"H2006FL08","House","FL",8,2006,0.0706,"Republican","Extremely Urban",3,647.91,0.100143805,0.043,0.297,0.218050897,0.60413676,0,0,0.4534,0.6052
"H2006FL09","House","FL",9,2006,0.1183,"Open Seat","Extremely Urban",4,1008.48,0.05625746,0.033,0.294,0.102352306,0.787992961,0,0,0.4303,0.9991
"H2006FL10","House","FL",10,2006,0.3186,"Republican","Extremely Urban",-1,3662.53,0.057992212,0.039,0.269,0.062978618,0.842797507,0,0,0.4881,0.6933
"H2006FL11","House","FL",11,2006,-0.3931,"Open Seat","Extremely Urban",-11,2621.35,0.293489456,0.028,0.244,0.246219277,0.451045794,0,0,0.5843,0
"H2006FL12","House","FL",12,2006,1,"Republican","Quite Urban",5,326.84,0.154557228,0.019,0.2,0.181067899,0.643916984,0,1,0.4174,0.6489
"H2006FL13","House","FL",13,2006,0.0016,"Open Seat","Extremely Urban",4,245.95,0.05103799,0.016,0.268,0.100544244,0.836058597,0,0,0.4382,0.553
"H2006FL14","House","FL",14,2006,0.2874,"Republican","Extremely Urban",10,605.07,0.061880164,0.016,0.275,0.145670339,0.784283338,0,0,0.3797,0.6759
"H2006FL15","House","FL",15,2006,0.1256,"Republican","Extremely Urban",4,251.2,0.097960621,0.031,0.248,0.157361209,0.701348085,0,0,0.4296,0.6535
"H2006FL16","House","FL",16,2006,-0.0189,"Open Seat","Extremely Urban",2,140.86,0.080149934,0.02,0.225,0.137199327,0.754515214,0,0,0.4575,0.6804
"H2006FL17","House","FL",17,2006,-1,"Democrat","Extremely Urban",-35,6622.77,0.599456072,0.021,0.17,0.241700888,0.13686785,1,0,0.8336,0
"H2006FL18","House","FL",18,2006,0.243,"Republican","Extremely Urban",4,1800.98,0.071877331,0.016,0.31,0.651387572,0.252651008,0,0,0.456,0.6473
"H2006FL19","House","FL",19,2006,-1,"Democrat","Extremely Urban",-21,2767.15,0.098306105,0.036,0.309,0.175061151,0.662639477,1,0,0.6625,1
"H2006FL20","House","FL",20,2006,-1,"Democrat","Extremely Urban",-18,3984.39,0.113465466,0.033,0.365,0.264692008,0.540921202,1,0,0.6382,0.2981
"H2006FL21","House","FL",21,2006,0.1894,"Republican","Extremely Urban",6,4737.98,0.086613096,0.026,0.271,0.734192371,0.128833474,0,0,0.4305,0.728
"H2006FL22","House","FL",22,2006,-0.0375,"Republican","Extremely Urban",-4,2387.3,0.05821602,0.026,0.379,0.152266026,0.753220375,0,0,0.5247,0.6279
"H2006FL23","House","FL",23,2006,-1,"Democrat","Extremely Urban",-29,190.14,0.570865452,0.022,0.166,0.163736731,0.264794988,1,0,0.7567,0
"H2006FL24","House","FL",24,2006,0.1588,"Republican","Extremely Urban",3,403.79,0.080394849,0.036,0.288,0.141569138,0.72872438,0,0,0.4476,1
"H2006FL25","House","FL",25,2006,0.1694,"Republican","Extremely Urban",4,149.79,0.108304307,0.019,0.245,0.668367982,0.167994831,0,0,0.4371,1
"H2006GA01","House","GA",1,2006,0.37,"Republican","",14,55.21,0.228292972,0.014,0.193,0.042749893,0.68014802,0,0,0.3363,1
"H2006GA02","House","GA",2,2006,-0.3574,"Democrat","",-2,58.09,0.44745785,0.013,0.145,0.037590563,0.47878583,0,0,0.4979,0.3321
"H2006GA03","House","GA",3,2006,0.353,"Republican","",19,153.14,0.404874086,0.019,0.249,0.03223804,0.694363891,0,0,0.2941,0.3712
"H2006GA04","House","GA",4,2006,-0.5069,"Open Seat","Extremely Urban",-22,1910.75,0.550599933,0.044,0.294,0.105728053,0.244536623,0,0,0.7144,0.3624
"H2006GA05","House","GA",5,2006,-1,"Democrat","Extremely Urban",-25,2564.77,0.543017268,0.033,0.448,0.076553769,0.399031846,1,0,0.7423,0
"H2006GA06","House","GA",6,2006,0.4478,"Republican","Extremely Urban",19,924.68,0.109877855,0.07,0.529,0.069042519,0.727375167,0,0,0.2955,0.9997
"H2006GA07","House","GA",7,2006,0.4182,"Republican","Extremely Urban",19,647.7,0.137115866,0.085,0.336,0.084598728,0.57451524,0,0,0.2999,1
"H2006GA08","House","GA",8,2006,-0.011,"Democrat","",8,87.81,0.181529939,0.012,0.18,0.033720806,0.607042437,0,0,0.3885,0.756
"H2006GA09","House","GA",9,2006,0.5326,"Republican","Quite Rural",24,145.31,0.14006345,0.017,0.21,0.032233179,0.833600102,0,0,0.2299,0.7429
"H2006GA10","House","GA",10,2006,0.3472,"Republican","Quite Rural",14,106.88,0.049127765,0.021,0.253,0.127578557,0.732846618,0,0,0.3485,1
"H2006GA11","House","GA",11,2006,0.4212,"Republican","Quite Urban",18,233.85,0.318883002,0.019,0.251,0.103359625,0.749302895,0,0,0.2878,0.574
"H2006GA12","House","GA",12,2006,-0.006,"Democrat","",-2,72.74,0.434828103,0.014,0.162,0.034223553,0.52753236,0,0,0.4943,0.4819
"H2006GA13","House","GA",13,2006,-0.3848,"Democrat","Extremely Urban",-10,1101.85,0.512016654,0.035,0.261,0.146757334,0.301192677,0,0,0.6005,0
"H2006HI01","House","HI",1,2006,-0.3868,"Democrat","Extremely Urban",-7,3178.7,0.036491096,0.652,0.325,0.051397271,0.182817496,0,0,0.5273,0.3398
"H2006HI02","House","HI",2,2006,-0.2206,"Open Seat","Quite Urban",-10,97.05,0.024840936,0.45,0.263,0.104621954,0.32624517,0,0,0.5598,0.3723
"H2006IA01","House","IA",1,2006,-0.1173,"Open Seat","",-5,81.1,0.045158997,0.011,0.235,0.023900511,0.914299116,0,0,0.5327,0.5516
"H2006IA02","House","IA",2,2006,-0.0274,"Open Seat","",-7,77.35,0.029445184,0.023,0.279,0.034854978,0.902124243,0,0,0.5578,0.5892
"H2006IA03","House","IA",3,2006,-0.052,"Democrat","Quite Urban",-1,83.86,0.040438294,0.027,0.279,0.043778814,0.881419213,0,0,0.5001,0.4472
"H2006IA04","House","IA",4,2006,0.145,"Republican","Quite Rural",0,37.14,0.011181718,0.017,0.242,0.034233369,0.931309576,0,0,0.4881,0.6093
"H2006IA05","House","IA",5,2006,0.2293,"Republican","Quite Rural",8,31.89,0.010861059,0.012,0.186,0.050400212,0.918832397,0,0,0.3965,0.633
"H2006ID01","House","ID",1,2006,0.0514,"Open Seat","",19,16.41,0.006984123,0.02,0.235,0.08099629,0.878861427,0,0,0.3062,0.6955
"H2006ID02","House","ID",2,2006,0.2763,"Republican","",23,14.93,0.00770503,0.021,0.252,0.105987817,0.852032728,0,0,0.3074,0.7074
"H2006IL01","House","IL",1,2006,-0.6876,"Democrat","Extremely Urban",-35,6680.77,0.639074922,0.025,0.22,0.082775615,0.283627059,0,0,0.8312,0.1514
"H2006IL02","House","IL",2,2006,-0.7328,"Democrat","Extremely Urban",-35,3540.12,0.692006528,0.009,0.208,0.116298899,0.192242971,0,0,0.8403,0.3321
"H2006IL03","House","IL",3,2006,-0.5436,"Democrat","Extremely Urban",-10,5250.18,0.069708586,0.033,0.237,0.29018414,0.593167809,0,0,0.5906,0.2515
"H2006IL04","House","IL",4,2006,-0.7208,"Democrat","Extremely Urban",-31,16700.23,0.057320308,0.022,0.218,0.74631393,0.238922073,0,0,0.792,0.1241
"H2006IL05","House","IL",5,2006,-0.5594,"Democrat","Extremely Urban",-18,11469.5,0.033295918,0.078,0.399,0.280537307,0.643956834,0,0,0.6703,0.2382
"H2006IL06","House","IL",6,2006,0.0274,"Open Seat","Extremely Urban",3,3062.58,0.035010092,0.103,0.378,0.171280652,0.701382388,0,0,0.466,0.5583
"H2006IL07","House","IL",7,2006,-0.7364,"Democrat","Extremely Urban",-35,11599.77,0.565419793,0.057,0.401,0.080042288,0.362821381,0,0,0.8344,0.1387
"H2006IL08","House","IL",8,2006,-0.0749,"Democrat","Extremely Urban",5,1057.89,0.045570344,0.085,0.364,0.1483199,0.728986773,0,0,0.4427,0.483
"H2006IL09","House","IL",9,2006,-0.491,"Democrat","Extremely Urban",-20,8677.11,0.106724985,0.145,0.444,0.114516236,0.631601591,0,0,0.6836,0.2426
"H2006IL10","House","IL",10,2006,0.0694,"Republican","Extremely Urban",-4,2619.2,0.048100218,0.084,0.512,0.141206235,0.725045355,0,0,0.5276,0.6414
"H2006IL11","House","IL",11,2006,0.1028,"Republican","Quite Urban",1,154.13,0.083403558,0.012,0.218,0.099308386,0.808907728,0,0,0.4635,0.5867
"H2006IL12","House","IL",12,2006,-1,"Democrat","Quite Urban",-5,147.72,0.172615826,0.015,0.207,0.021475054,0.790796387,1,0,0.5212,0.2886
"H2006IL13","House","IL",13,2006,0.1672,"Republican","Extremely Urban",5,1843.6,0.067939177,0.099,0.46,0.083463959,0.741805198,0,0,0.4476,0.6502
"H2006IL14","House","IL",14,2006,0.195,"Republican","Extremely Urban",5,229.22,0.053368285,0.033,0.305,0.222828001,0.700859327,0,0,0.4416,0.6863
"H2006IL15","House","IL",15,2006,0.1502,"Republican","",6,64.89,0.060926296,0.038,0.269,0.027966697,0.856713779,0,0,0.4105,0.6105
"H2006IL16","House","IL",16,2006,0.3302,"Republican","Quite Urban",4,159.49,0.059753738,0.022,0.243,0.088736475,0.834111397,0,0,0.4427,0.6908
"H2006IL17","House","IL",17,2006,-0.1442,"Open Seat","Quite Urban",-5,80.5,0.080162562,0.01,0.177,0.044487603,0.862864314,0,0,0.5162,0.3932
"H2006IL18","House","IL",18,2006,0.3482,"Republican","",5,79.85,0.07117863,0.016,0.245,0.019976737,0.885492442,0,0,0.4192,0.7024
"H2006IL19","House","IL",19,2006,0.213,"Republican","Quite Rural",8,56.75,0.032335278,0.008,0.207,0.012084919,0.930365323,0,0,0.39,0.6936
"H2006IN01","House","IN",1,2006,-0.4274,"Democrat","Extremely Urban",-8,305.77,0.194939271,0.013,0.197,0.114725403,0.686821926,0,0,0.5567,0.3171
"H2006IN02","House","IN",2,2006,-0.0786,"Republican","Quite Urban",4,183.68,0.089867912,0.012,0.192,0.069651447,0.834796423,0,0,0.4356,0.5417
"H2006IN03","House","IN",3,2006,0.0874,"Republican","",16,208.49,0.065030098,0.016,0.218,0.056732774,0.865937776,0,0,0.3154,0.6921
"H2006IN04","House","IN",4,2006,0.249,"Republican","",17,168.21,0.028496031,0.024,0.266,0.036580998,0.898174029,0,0,0.3029,0.6947
"H2006IN05","House","IN",5,2006,0.3328,"Republican","Quite Urban",20,206.84,0.0413201,0.024,0.351,0.02506347,0.898851989,0,0,0.2828,0.7184
"H2006IN06","House","IN",6,2006,0.204,"Republican","",11,121.73,0.042212434,0.008,0.169,0.016896091,0.924753105,0,0,0.3556,0.6709
"H2006IN07","House","IN",7,2006,-0.0742,"Democrat","Extremely Urban",-9,2583.74,0.333695769,0.019,0.228,0.07107611,0.574914803,0,0,0.5835,0.4368
"H2006IN08","House","IN",8,2006,-0.2204,"Republican","",9,95.94,0.04031162,0.009,0.178,0.010602298,0.92486326,0,0,0.3804,0.5337
"H2006IN09","House","IN",9,2006,-0.0439,"Republican","Quite Rural",7,102.32,0.028424712,0.016,0.197,0.019673714,0.922659955,0,0,0.4063,0.4943
"H2006KS01","House","KS",1,2006,0.5873,"Republican","Quite Rural",20,11.71,0.021881381,0.01,0.2,0.128024414,0.836021297,0,0,0.2687,0.9072
"H2006KS02","House","KS",2,2006,-0.0345,"Republican","",7,47.55,0.054751568,0.018,0.268,0.041659839,0.866430684,0,0,0.4002,0.5615
"H2006KS03","House","KS",3,2006,-0.3064,"Democrat","Extremely Urban",4,864.39,0.097375408,0.038,0.435,0.088690564,0.770205545,0,0,0.4468,0.4335
"H2006KS04","House","KS",4,2006,0.2991,"Republican","Quite Urban",12,70.52,0.077237517,0.032,0.255,0.082626775,0.790037458,0,0,0.3491,0.6611
"H2006KY01","House","KY",1,2006,0.1972,"Republican","Extremely Rural",10,57.66,0.07221251,0.007,0.139,0.01765744,0.899601755,0,0,0.3619,0.6732
"H2006KY02","House","KY",2,2006,0.1098,"Republican","Quite Rural",13,88.97,0.05975081,0.01,0.163,0.019967005,0.896059149,0,0,0.3454,0.6792
